dbus-service-name;description;Address;Type;Scalefactor;Range;Initial;dbus-obj-path;writable;dbus-unit;Remarks;;;;
com.victronenergy.grid;Grid L1 - Power;2600;int16;1;-32768 to 32767;0;/Ac/L1/Power;no;W;;;;;
com.victronenergy.grid;Grid L2 - Power;2601;int16;1;-32768 to 32767;0;/Ac/L2/Power;no;W;;;;;
com.victronenergy.grid;Grid L3 - Power;2602;int16;1;-32768 to 32767;0;/Ac/L3/Power;no;W;;;;;
com.victronenergy.grid;Grid L1 - Energy from net;2603;uint16;100;0 to 655.35;0;/Ac/L1/Energy/Forward;no;kWh;;;;;
com.victronenergy.grid;Grid L2 - Energy from net;2604;uint16;100;0 to 655.35;0;/Ac/L2/Energy/Forward;no;kWh;;;;;
com.victronenergy.grid;Grid L3 - Energy from net;2605;uint16;100;0 to 655.35;0;/Ac/L3/Energy/Forward;no;kWh;;;;;
com.victronenergy.grid;Grid L1 - Energy to net;2606;uint16;100;0 to 655.35;0;/Ac/L1/Energy/Reverse;no;kWh;;;;;
com.victronenergy.grid;Grid L2 - Energy to net;2607;uint16;100;0 to 655.35;0;/Ac/L2/Energy/Reverse;no;kWh;;;;;
com.victronenergy.grid;Grid L3 - Energy to net;2608;uint16;100;0 to 655.35;0;/Ac/L3/Energy/Reverse;no;kWh;;;;;
com.victronenergy.grid;Serial;2609;string[7];;14 characters;1234567;/Serial;no;;The grid meter serial as string (MSB of first register: first character, LSB of last register: last character).;;;;
com.victronenergy.grid;Grid L1 – Voltage;2616;uint16;10;0 to 6553.5;0;/Ac/L1/Voltage;no;V AC;;;;;
com.victronenergy.grid;Grid L1 – Current;2617;int16;10;-3276.8 to 3276.7;0;/Ac/L1/Current;no;A AC;;;;;
com.victronenergy.grid;Grid L2 – Voltage;2618;uint16;10;0 to 6553.5;0;/Ac/L2/Voltage;no;V AC;;;;;
com.victronenergy.grid;Grid L2 – Current;2619;int16;10;-3276.8 to 3276.7;0;/Ac/L2/Current;no;A AC;;;;;
com.victronenergy.grid;Grid L3 – Voltage;2620;uint16;10;0 to 6553.5;0;/Ac/L3/Voltage;no;V AC;;;;;
com.victronenergy.grid;Grid L3 – Current;2621;int16;10;-3276.8 to 3276.7;0;/Ac/L3/Current;no;A AC;;;;;
com.victronenergy.grid;Grid L1 - Energy from net;2622;uint32;100;0 to 42949672.96;0;/Ac/L1/Energy/Forward;no;kWh;;;;;
com.victronenergy.grid;Grid L2 - Energy from net;2624;uint32;100;0 to 42949672.96;0;/Ac/L2/Energy/Forward;no;kWh;;;;;
com.victronenergy.grid;Grid L3 - Energy from net;2626;uint32;100;0 to 42949672.96;0;/Ac/L3/Energy/Forward;no;kWh;;;;;
com.victronenergy.grid;Grid L1 - Energy to net;2628;uint32;100;0 to 42949672.96;0;/Ac/L1/Energy/Reverse;no;kWh;;;;;
com.victronenergy.grid;Grid L2 - Energy to net;2630;uint32;100;0 to 42949672.96;0;/Ac/L2/Energy/Reverse;no;kWh;;;;;
com.victronenergy.grid;Grid L3 - Energy to net;2632;uint32;100;0 to 42949672.96;0;/Ac/L3/Energy/Reverse;no;kWh;;;;;
com.victronenergy.grid;Total Energy from net;2634;uint32;100;0 to 42949672.96;0;/Ac/Energy/Forward;no;kWh;Depending on the energy summation method used by the meter, this may be different to the sum of the individual counters;;;;
com.victronenergy.grid;Total Energy to net;2636;uint32;100;0 to 42949672.96;0;/Ac/Energy/Reverse;no;kWh;;;;;